Product Category,Product Price,Returns,Return_Risk
Books,156,1.0,0.84
Books,282,1.0,0.8
Home,261,1.0,0.84
Clothing,445,1.0,0.86
Electronics,500,1.0,0.84
Clothing,205,1.0,0.76
Clothing,389,1.0,0.73
Electronics,26,1.0,0.8
Electronics,52,1.0,0.74
Electronics,436,1.0,0.88
Books,162,1.0,0.84
Clothing,110,1.0,0.82
Books,379,1.0,0.81
Home,221,1.0,0.8
Electronics,306,1.0,0.82
Home,229,1.0,0.73
Books,106,1.0,0.83
Clothing,265,1.0,0.8
Books,384,1.0,0.88
Clothing,363,1.0,0.81
Books,77,1.0,0.76
Clothing,257,1.0,0.76
Clothing,181,1.0,0.76
Books,273,1.0,0.74
Home,236,1.0,0.72
Books,148,1.0,0.8
Books,240,1.0,0.88
Clothing,355,1.0,0.75
Electronics,304,1.0,0.77
Clothing,296,1.0,0.9
Books,336,1.0,0.85
Books,300,1.0,0.81
Clothing,51,1.0,0.9
Books,94,1.0,0.72
Clothing,325,1.0,0.8
Clothing,265,1.0,0.84
Home,218,1.0,0.78
Electronics,120,1.0,0.87
Home,409,1.0,0.77
Electronics,52,1.0,0.85
Books,499,1.0,0.76
Clothing,289,1.0,0.8
Books,484,1.0,0.89
Books,248,1.0,0.85
Electronics,223,1.0,0.87
Electronics,92,1.0,0.83
Electronics,66,1.0,0.74
Clothing,217,1.0,0.82
Books,303,1.0,0.85
Clothing,320,1.0,0.78
Clothing,128,1.0,0.83
Electronics,220,1.0,0.86
Books,223,1.0,0.82
Home,198,1.0,0.76
Clothing,420,1.0,0.75
Clothing,257,1.0,0.82
Home,342,1.0,0.83
Clothing,454,1.0,0.77
Books,194,1.0,0.87
Books,195,1.0,0.84
Electronics,277,1.0,0.82
Electronics,441,1.0,0.82
Books,330,1.0,0.77
Home,481,1.0,0.81
Electronics,28,1.0,0.77
Clothing,138,1.0,0.77
Home,294,1.0,0.74
Home,44,1.0,0.77
Books,204,1.0,0.77
Electronics,377,1.0,0.84
Clothing,120,1.0,0.82
Electronics,348,1.0,0.79
Electronics,465,1.0,0.8
Electronics,376,1.0,0.84
Books,250,1.0,0.87
Books,137,1.0,0.79
Clothing,212,1.0,0.91
Home,470,1.0,0.8
Home,47,1.0,0.86
Books,13,1.0,0.83
Electronics,144,1.0,0.79
Home,291,1.0,0.72
Books,463,1.0,0.82
Home,148,1.0,0.85
Books,198,1.0,0.84
Books,208,1.0,0.82
Electronics,344,1.0,0.79
Clothing,137,1.0,0.77
Books,37,1.0,0.83
Home,195,1.0,0.85
Electronics,301,1.0,0.86
Books,65,1.0,0.78
Books,150,1.0,0.79
Books,66,1.0,0.86
Clothing,43,1.0,0.84
Books,169,1.0,0.77
Books,244,1.0,0.85
Clothing,296,1.0,0.81
Home,441,1.0,0.81
Electronics,412,1.0,0.86
Home,229,1.0,0.82
Books,116,1.0,0.94
Books,431,1.0,0.8
Books,392,1.0,0.72
Home,13,1.0,0.86
Books,100,1.0,0.86
Electronics,99,1.0,0.82
Home,230,1.0,0.81
Electronics,41,1.0,0.78
Books,14,1.0,0.79
Home,218,1.0,0.81
Clothing,488,1.0,0.89
Home,18,1.0,0.82
Books,240,1.0,0.85
Electronics,157,1.0,0.78
Books,458,1.0,0.86
Clothing,369,1.0,0.85
Books,389,1.0,0.72
Books,74,1.0,0.84
Books,55,1.0,0.82
Home,51,1.0,0.79
Electronics,223,1.0,0.84
Books,240,1.0,0.81
Clothing,23,1.0,0.82
Clothing,85,1.0,0.8
Clothing,265,1.0,0.8
Books,495,1.0,0.86
Clothing,395,1.0,0.86
Books,320,1.0,0.8
Home,129,1.0,0.83
Electronics,192,1.0,0.83
Electronics,260,1.0,0.82
Clothing,275,1.0,0.85
Clothing,150,1.0,0.86
Books,409,0.0,0.73
Books,455,1.0,0.89
Books,233,1.0,0.85
Clothing,194,1.0,0.86
Electronics,158,1.0,0.84
Home,280,1.0,0.84
Books,108,1.0,0.86
Clothing,338,1.0,0.79
Books,76,1.0,0.84
Home,62,1.0,0.84
Books,152,1.0,0.83
Clothing,254,1.0,0.86
Books,108,1.0,0.85
Books,483,1.0,0.79
Electronics,70,1.0,0.81
Clothing,47,1.0,0.8
Electronics,165,1.0,0.83
Clothing,342,1.0,0.71
Electronics,430,1.0,0.88
Books,382,1.0,0.8
Clothing,342,1.0,0.86
Home,357,1.0,0.87
Electronics,250,1.0,0.88
Books,489,1.0,0.87
Clothing,453,1.0,0.84
Books,478,1.0,0.81
Books,272,1.0,0.82
Clothing,140,1.0,0.83
Electronics,241,1.0,0.78
Electronics,415,1.0,0.88
Home,368,1.0,0.8
Electronics,62,1.0,0.75
Books,473,1.0,0.84
Clothing,288,1.0,0.76
Electronics,239,1.0,0.86
Clothing,293,1.0,0.76
Clothing,346,1.0,0.82
Books,466,1.0,0.87
Electronics,20,1.0,0.84
Books,81,1.0,0.77
Home,292,1.0,0.93
Books,109,1.0,0.74
Books,307,1.0,0.78
Home,35,1.0,0.72
Clothing,223,1.0,0.78
Clothing,37,1.0,0.81
Books,321,1.0,0.9
Books,303,1.0,0.84
Books,215,1.0,0.75
Home,257,1.0,0.78
Home,35,1.0,0.87
Home,368,1.0,0.74
Home,194,1.0,0.88
Clothing,400,1.0,0.74
Electronics,327,1.0,0.78
Books,32,1.0,0.85
Clothing,241,1.0,0.85
Clothing,336,1.0,0.85
Home,106,1.0,0.73
Electronics,194,1.0,0.86
Clothing,64,1.0,0.74
Electronics,245,1.0,0.86
Clothing,336,1.0,0.87
Home,240,1.0,0.89
Home,172,1.0,0.79
Electronics,261,1.0,0.72
Clothing,36,1.0,0.79
Books,323,1.0,0.87
Books,375,1.0,0.84
Electronics,98,1.0,0.9
Clothing,22,1.0,0.85
Home,454,1.0,0.85
Clothing,497,1.0,0.77
Electronics,447,1.0,0.72
Clothing,16,1.0,0.75
Books,439,1.0,0.85
Electronics,87,1.0,0.79
Home,166,1.0,0.91
Clothing,345,1.0,0.8
Books,12,1.0,0.77
Clothing,350,1.0,0.8
Clothing,498,1.0,0.81
Clothing,108,1.0,0.86
Books,82,1.0,0.83
Home,184,1.0,0.77
Clothing,353,1.0,0.81
Books,288,1.0,0.81
Clothing,134,1.0,0.82
Home,43,1.0,0.86
Books,131,1.0,0.8
Clothing,270,1.0,0.83
Electronics,379,1.0,0.83
Electronics,180,1.0,0.83
Electronics,72,1.0,0.78
Clothing,370,1.0,0.81
Books,210,1.0,0.85
Home,107,1.0,0.83
Books,148,1.0,0.8
Electronics,457,1.0,0.78
Books,497,1.0,0.81
Books,355,1.0,0.85
Home,212,1.0,0.87
Home,172,1.0,0.87
Home,264,1.0,0.79
Clothing,320,1.0,0.8
Clothing,232,1.0,0.77
Clothing,156,1.0,0.8
Home,149,1.0,0.89
Clothing,294,1.0,0.79
Home,254,1.0,0.8
Clothing,180,1.0,0.74
Books,139,1.0,0.83
Clothing,456,1.0,0.77
Books,125,1.0,0.79
Clothing,10,1.0,0.78
Books,11,1.0,0.85
Books,121,1.0,0.74
Clothing,373,1.0,0.85
Home,227,1.0,0.8
Clothing,426,1.0,0.8
Books,420,1.0,0.8
Home,270,1.0,0.74
Clothing,458,1.0,0.76
Home,116,1.0,0.84
Clothing,120,1.0,0.88
Books,81,1.0,0.84
Books,438,1.0,0.81
Clothing,494,1.0,0.92
Electronics,86,1.0,0.86
Books,193,1.0,0.86
Books,341,1.0,0.83
Clothing,231,1.0,0.86
Home,323,1.0,0.87
Home,39,1.0,0.87
Books,164,1.0,0.76
Electronics,192,1.0,0.9
Books,159,1.0,0.85
Books,82,1.0,0.89
Home,70,1.0,0.83
Clothing,389,1.0,0.84
Home,113,1.0,0.79
Clothing,118,1.0,0.8
Books,14,1.0,0.79
Clothing,222,1.0,0.86
Books,468,1.0,0.85
Clothing,271,1.0,0.76
Books,340,1.0,0.87
Clothing,369,1.0,0.79
Home,403,1.0,0.83
Electronics,125,1.0,0.86
Books,101,1.0,0.75
Electronics,450,1.0,0.81
Clothing,378,1.0,0.89
Home,180,1.0,0.88
Books,217,1.0,0.75
Clothing,216,1.0,0.83
Clothing,234,1.0,0.83
Electronics,316,1.0,0.88
Clothing,148,1.0,0.88
Clothing,482,1.0,0.9
Home,49,1.0,0.81
Clothing,491,1.0,0.85
Books,477,1.0,0.81
Electronics,65,1.0,0.79
Electronics,127,1.0,0.81
Clothing,34,1.0,0.91
Electronics,233,1.0,0.78
Books,222,1.0,0.83
Electronics,354,1.0,0.83
Books,477,1.0,0.82
Clothing,163,1.0,0.89
Books,154,1.0,0.72
Electronics,103,1.0,0.88
Books,422,1.0,0.83
Books,31,1.0,0.88
Clothing,137,1.0,0.82
Books,65,1.0,0.77
Books,241,1.0,0.83
Books,484,1.0,0.84
Clothing,133,1.0,0.76
Electronics,173,1.0,0.79
Electronics,151,1.0,0.78
Books,31,1.0,0.79
Electronics,407,1.0,0.79
Electronics,477,1.0,0.83
Electronics,375,1.0,0.71
Electronics,288,1.0,0.9
Home,378,1.0,0.8
Clothing,348,1.0,0.85
Books,358,1.0,0.77
Clothing,463,1.0,0.83
Books,477,1.0,0.77
Books,311,1.0,0.84
Clothing,19,1.0,0.76
Clothing,310,1.0,0.83
Electronics,42,1.0,0.88
Home,169,1.0,0.84
Home,282,1.0,0.81
Home,173,1.0,0.92
Clothing,188,1.0,0.78
Electronics,237,1.0,0.8
Clothing,141,1.0,0.85
Electronics,32,1.0,0.85
Clothing,141,1.0,0.89
Electronics,285,1.0,0.84
Home,103,1.0,0.77
Clothing,45,1.0,0.85
Clothing,271,1.0,0.79
Books,169,1.0,0.84
Home,443,1.0,0.81
Books,426,1.0,0.77
Electronics,143,1.0,0.79
Home,20,1.0,0.73
Electronics,28,1.0,0.91
Electronics,198,1.0,0.73
Books,145,1.0,0.86
Clothing,384,1.0,0.83
Home,209,1.0,0.78
Clothing,162,1.0,0.81
Books,414,1.0,0.75
Electronics,274,1.0,0.77
Books,248,1.0,0.84
Books,271,1.0,0.74
Home,428,0.0,0.73
Home,276,1.0,0.76
Clothing,84,1.0,0.79
Home,251,1.0,0.83
Clothing,264,1.0,0.74
Home,451,1.0,0.92
Clothing,93,1.0,0.81
Books,320,1.0,0.88
Clothing,467,1.0,0.76
Clothing,328,1.0,0.87
Books,310,1.0,0.76
Clothing,155,1.0,0.86
Home,45,1.0,0.73
Electronics,168,1.0,0.85
Electronics,151,1.0,0.8
Electronics,469,1.0,0.73
Electronics,246,1.0,0.81
Clothing,338,1.0,0.86
Clothing,53,1.0,0.77
Clothing,233,1.0,0.81
Clothing,439,1.0,0.89
Clothing,486,1.0,0.77
Clothing,103,1.0,0.8
Electronics,161,1.0,0.81
Clothing,295,1.0,0.82
Clothing,32,1.0,0.82
Clothing,377,1.0,0.73
Home,343,1.0,0.79
Electronics,170,1.0,0.75
Books,224,1.0,0.8
Clothing,95,1.0,0.82
Clothing,278,1.0,0.74
Electronics,326,1.0,0.8
Home,108,1.0,0.86
Clothing,118,1.0,0.82
Books,394,1.0,0.77
Books,497,1.0,0.82
Books,130,1.0,0.83
Books,329,1.0,0.87
Clothing,338,1.0,0.83
Clothing,296,1.0,0.83
Home,481,1.0,0.81
Books,395,1.0,0.84
Books,471,1.0,0.77
Electronics,45,1.0,0.85
Books,113,1.0,0.77
Clothing,241,1.0,0.89
Clothing,28,1.0,0.84
Clothing,342,1.0,0.84
Clothing,55,1.0,0.8
Home,313,1.0,0.76
Books,307,1.0,0.86
Home,198,1.0,0.83
Home,30,1.0,0.81
Electronics,10,1.0,0.92
Books,172,1.0,0.81
Books,241,1.0,0.81
Home,294,1.0,0.85
Clothing,69,1.0,0.84
Clothing,176,1.0,0.83
Clothing,268,1.0,0.87
Clothing,446,1.0,0.85
Electronics,220,1.0,0.88
Books,100,1.0,0.71
Clothing,297,1.0,0.75
Books,76,1.0,0.76
Home,499,1.0,0.91
Books,307,1.0,0.83
Books,295,1.0,0.8
Clothing,397,1.0,0.89
Books,98,1.0,0.85
Clothing,170,1.0,0.72
Books,429,1.0,0.88
Electronics,294,1.0,0.74
Clothing,175,1.0,0.71
Books,233,1.0,0.74
Electronics,426,1.0,0.85
Home,17,1.0,0.82
Clothing,148,1.0,0.82
Electronics,338,1.0,0.86
Electronics,469,1.0,0.88
Clothing,171,1.0,0.86
Books,89,1.0,0.79
Clothing,125,1.0,0.9
Clothing,312,1.0,0.73
Clothing,344,1.0,0.82
Electronics,311,1.0,0.93
Home,145,1.0,0.86
Books,49,1.0,0.92
Home,269,1.0,0.77
Books,167,1.0,0.8
Home,242,1.0,0.71
Home,447,1.0,0.77
Books,448,1.0,0.86
Clothing,491,1.0,0.78
Books,12,1.0,0.75
Home,311,1.0,0.76
Clothing,69,1.0,0.83
Home,225,1.0,0.81
Clothing,339,1.0,0.9
Home,139,1.0,0.75
Books,456,1.0,0.84
Clothing,219,1.0,0.8
Clothing,80,1.0,0.88
Books,104,1.0,0.82
Clothing,315,1.0,0.86
Home,131,1.0,0.75
Clothing,409,1.0,0.79
Electronics,116,1.0,0.8
Books,44,1.0,0.8
Clothing,170,1.0,0.86
Electronics,410,1.0,0.78
Books,307,1.0,0.81
Books,343,1.0,0.8
Clothing,260,1.0,0.88
Clothing,332,1.0,0.82
Books,219,1.0,0.84
Home,102,1.0,0.79
Home,159,1.0,0.85
Electronics,414,1.0,0.79
Electronics,225,1.0,0.76
Clothing,146,1.0,0.8
Home,21,1.0,0.91
Home,373,1.0,0.85
Clothing,144,1.0,0.79
Home,392,1.0,0.74
Electronics,106,1.0,0.85
Clothing,146,1.0,0.85
Clothing,358,1.0,0.82
Books,143,1.0,0.81
Electronics,83,1.0,0.87
Books,390,1.0,0.87
Electronics,199,1.0,0.84
Clothing,214,1.0,0.89
Books,133,1.0,0.81
Clothing,487,1.0,0.87
Home,136,1.0,0.9
Electronics,284,1.0,0.84
Books,113,1.0,0.86
Clothing,327,1.0,0.83
Books,53,1.0,0.81
Home,85,1.0,0.79
Electronics,416,1.0,0.72
Clothing,34,1.0,0.81
Clothing,287,1.0,0.78
Clothing,374,1.0,0.81
Books,271,1.0,0.86
Electronics,280,1.0,0.88
Clothing,411,1.0,0.83
Home,352,1.0,0.79
Clothing,214,1.0,0.81
Home,346,1.0,0.86
Electronics,262,1.0,0.8
Clothing,113,1.0,0.82
Electronics,474,1.0,0.88
Clothing,138,1.0,0.8
Electronics,152,1.0,0.76
Electronics,23,1.0,0.87
Electronics,16,1.0,0.88
Clothing,435,1.0,0.75
Clothing,311,1.0,0.77
Clothing,236,0.0,0.74
Clothing,200,1.0,0.81
Books,261,1.0,0.85
Books,356,1.0,0.83
Electronics,320,1.0,0.81
Home,156,1.0,0.85
Books,362,1.0,0.8
Home,107,1.0,0.76
Home,412,1.0,0.9
Books,382,1.0,0.84
Clothing,335,1.0,0.85
Clothing,34,1.0,0.76
Books,390,1.0,0.9
Home,305,1.0,0.79
Home,388,1.0,0.88
Electronics,90,1.0,0.85
Books,52,1.0,0.83
Home,113,1.0,0.83
Electronics,346,1.0,0.8
Electronics,161,1.0,0.84
Books,450,1.0,0.82
Home,427,1.0,0.77
Clothing,43,1.0,0.8
Home,325,1.0,0.76
Clothing,474,1.0,0.88
Books,116,1.0,0.89
Clothing,391,1.0,0.77
Home,382,1.0,0.75
Home,207,1.0,0.84
Books,82,1.0,0.77
Clothing,336,1.0,0.81
Clothing,377,1.0,0.73
Electronics,410,1.0,0.83
Books,15,1.0,0.84
Electronics,126,1.0,0.87
Electronics,267,1.0,0.84
Electronics,341,1.0,0.81
Books,354,1.0,0.82
Clothing,167,1.0,0.92
Electronics,45,1.0,0.87
Electronics,267,1.0,0.87
Electronics,48,1.0,0.77
Books,70,1.0,0.82
Electronics,188,1.0,0.82
Home,241,1.0,0.83
Books,299,1.0,0.83
Home,33,1.0,0.72
Books,476,1.0,0.81
Electronics,343,1.0,0.8
Electronics,429,1.0,0.83
Home,186,1.0,0.87
Clothing,335,1.0,0.85
Books,437,1.0,0.85
Electronics,243,1.0,0.81
Electronics,20,1.0,0.83
Books,182,1.0,0.71
Home,475,1.0,0.82
Electronics,457,1.0,0.81
Clothing,462,1.0,0.77
Home,355,1.0,0.91
Books,60,1.0,0.71
Books,355,1.0,0.81
Clothing,216,1.0,0.79
Clothing,61,1.0,0.79
Books,319,1.0,0.73
Books,100,1.0,0.71
Clothing,94,1.0,0.87
Books,251,1.0,0.87
Electronics,10,1.0,0.85
Home,97,1.0,0.76
Clothing,41,1.0,0.9
Home,74,1.0,0.85
Home,12,1.0,0.86
Books,275,1.0,0.82
Home,319,1.0,0.88
Books,413,1.0,0.76
Books,360,1.0,0.82
Clothing,105,1.0,0.75
Books,240,1.0,0.8
Home,329,1.0,0.79
Home,307,1.0,0.83
Books,478,1.0,0.8
Books,390,1.0,0.72
Clothing,340,1.0,0.72
Clothing,431,1.0,0.83
Books,41,1.0,0.87
Electronics,437,1.0,0.86
Electronics,106,1.0,0.87
Books,173,1.0,0.71
Electronics,351,1.0,0.82
Clothing,425,1.0,0.88
Books,23,1.0,0.71
Clothing,413,1.0,0.78
Home,152,1.0,0.8
Books,237,1.0,0.88
Home,456,1.0,0.77
Books,43,1.0,0.86
Clothing,422,1.0,0.81
Clothing,287,1.0,0.8
Clothing,296,1.0,0.76
Home,122,1.0,0.77
Books,241,1.0,0.8
Books,83,1.0,0.79
Home,320,1.0,0.78
Clothing,92,1.0,0.88
Home,383,1.0,0.8
Electronics,254,1.0,0.79
Clothing,485,1.0,0.82
Home,368,1.0,0.86
Books,255,1.0,0.89
Clothing,220,1.0,0.89
Clothing,50,1.0,0.8
Books,452,1.0,0.81
Clothing,123,1.0,0.87
Clothing,85,1.0,0.78
Electronics,440,1.0,0.82
Clothing,418,1.0,0.85
Electronics,305,1.0,0.79
Electronics,386,1.0,0.71
Electronics,493,1.0,0.75
Books,62,1.0,0.8
Clothing,72,1.0,0.83
Clothing,370,1.0,0.81
Clothing,374,1.0,0.73
Home,272,1.0,0.82
Books,149,1.0,0.85
Electronics,153,1.0,0.8
Electronics,474,1.0,0.82
Books,145,1.0,0.85
Books,334,1.0,0.94
Books,44,1.0,0.87
Books,317,1.0,0.81
Clothing,438,1.0,0.78
Clothing,259,1.0,0.76
Clothing,486,1.0,0.85
Clothing,398,1.0,0.85
Books,247,1.0,0.81
Clothing,330,1.0,0.76
Clothing,460,1.0,0.77
Home,41,1.0,0.87
Electronics,463,1.0,0.83
Books,456,1.0,0.84
Clothing,366,1.0,0.9
Clothing,403,1.0,0.8
Clothing,77,1.0,0.82
Books,61,1.0,0.82
Books,85,1.0,0.83
Home,283,1.0,0.84
Books,10,1.0,0.76
Clothing,52,1.0,0.86
Electronics,62,1.0,0.9
Books,181,1.0,0.82
Electronics,320,1.0,0.88
Clothing,152,1.0,0.73
Electronics,412,1.0,0.77
Electronics,486,1.0,0.8
Books,127,1.0,0.75
Books,370,1.0,0.84
Home,236,1.0,0.79
Home,248,1.0,0.8
Home,488,1.0,0.82
Books,469,1.0,0.79
Home,363,1.0,0.79
Clothing,432,1.0,0.71
Books,313,1.0,0.83
Books,301,1.0,0.85
Books,421,1.0,0.85
Clothing,432,1.0,0.84
Clothing,139,1.0,0.91
Clothing,303,1.0,0.81
Home,325,1.0,0.82
Books,87,1.0,0.71
Books,373,1.0,0.78
Clothing,24,1.0,0.82
Electronics,125,1.0,0.81
Clothing,443,1.0,0.88
Home,96,1.0,0.9
Books,25,1.0,0.84
Books,225,0.0,0.74
Books,474,1.0,0.93
Home,56,1.0,0.81
Books,143,1.0,0.81
Electronics,80,1.0,0.86
Books,100,1.0,0.84
Books,106,1.0,0.79
Books,309,1.0,0.78
Home,38,1.0,0.78
Clothing,462,1.0,0.77
Home,370,1.0,0.77
Electronics,65,1.0,0.73
Electronics,229,1.0,0.8
Home,388,1.0,0.92
Home,266,1.0,0.71
Electronics,214,1.0,0.76
Books,28,1.0,0.77
Books,42,1.0,0.79
Books,409,1.0,0.82
Books,311,1.0,0.87
Clothing,109,1.0,0.8
Home,450,0.0,0.71
Home,473,1.0,0.82
Home,110,1.0,0.87
Electronics,425,0.0,0.73
Books,60,1.0,0.79
Electronics,439,1.0,0.75
Electronics,288,1.0,0.77
Clothing,338,1.0,0.8
Clothing,454,1.0,0.84
Electronics,179,1.0,0.72
Clothing,71,1.0,0.79
Home,352,1.0,0.85
Books,189,1.0,0.91
Home,490,1.0,0.82
Home,217,1.0,0.79
Books,259,1.0,0.83
Home,463,1.0,0.8
Clothing,319,1.0,0.86
Books,238,1.0,0.76
Home,204,1.0,0.85
Electronics,439,1.0,0.89
Electronics,418,1.0,0.83
Clothing,468,1.0,0.77
Clothing,358,1.0,0.8
Clothing,423,1.0,0.76
Books,412,1.0,0.74
Clothing,356,1.0,0.82
Home,403,1.0,0.84
Home,214,1.0,0.79
Electronics,189,1.0,0.78
Books,245,1.0,0.79
Electronics,420,1.0,0.84
Electronics,446,1.0,0.93
Home,176,1.0,0.79
Books,313,1.0,0.74
Books,409,1.0,0.84
Electronics,58,1.0,0.87
Books,125,1.0,0.85
Home,58,1.0,0.81
Home,454,1.0,0.81
Clothing,373,1.0,0.78
Clothing,214,1.0,0.87
Books,471,1.0,0.88
Books,326,1.0,0.83
Home,494,1.0,0.89
Clothing,94,1.0,0.85
Electronics,243,1.0,0.8
Home,89,1.0,0.84
Clothing,212,1.0,0.89
Electronics,147,1.0,0.83
Clothing,269,1.0,0.89
Books,263,1.0,0.8
Home,121,1.0,0.78
Home,335,1.0,0.83
Books,97,1.0,0.73
Electronics,117,1.0,0.86
Books,65,1.0,0.72
Electronics,500,1.0,0.83
Books,418,1.0,0.86
Electronics,112,1.0,0.84
Electronics,443,1.0,0.79
Electronics,322,1.0,0.82
Clothing,75,1.0,0.86
Books,315,1.0,0.87
Home,231,1.0,0.81
Home,212,1.0,0.87
Clothing,151,1.0,0.86
Electronics,269,1.0,0.78
Electronics,222,1.0,0.77
Home,199,1.0,0.82
Clothing,26,1.0,0.77
Home,482,1.0,0.75
Electronics,480,1.0,0.71
Clothing,235,1.0,0.74
Books,418,1.0,0.71
Books,205,1.0,0.8
Clothing,226,1.0,0.8
Books,357,1.0,0.87
Clothing,201,1.0,0.9
Books,392,1.0,0.86
Clothing,38,1.0,0.77
Home,195,1.0,0.89
Home,28,1.0,0.89
Electronics,132,1.0,0.86
Books,239,1.0,0.75
Books,17,1.0,0.76
Clothing,359,1.0,0.8
Clothing,29,1.0,0.81
Electronics,259,1.0,0.88
Electronics,378,1.0,0.83
Home,296,1.0,0.86
Home,147,1.0,0.86
Books,80,1.0,0.8
Books,460,1.0,0.79
Books,212,1.0,0.85
Clothing,100,1.0,0.79
Home,309,1.0,0.84
Books,153,1.0,0.78
Clothing,144,1.0,0.79
Books,363,1.0,0.87
Clothing,54,1.0,0.78
Clothing,412,1.0,0.82
Electronics,95,1.0,0.8
Clothing,281,1.0,0.78
Books,415,1.0,0.82
Clothing,485,1.0,0.87
Home,477,1.0,0.83
